location,attention_score
"-98.531250  33.281250
",1.9493759870529175
"-98.781250  33.281250
",1.4526641368865967
"-95.843750  29.656250
",1.4636725187301636
"-95.906250  29.593750
",1.532636284828186
"-95.906250  29.781250
",1.8559761047363281
"-95.718750  29.593750
",1.7471686601638794
"-96.281250  31.468750
",1.505405306816101
"-97.656250  30.656250
",1.7758995294570923
"-96.468750  30.531250
",1.4282128810882568
"-96.281250  31.281250
",1.497596263885498
"-95.906250  29.718750
",1.755444049835205
"-97.593750  32.156250
",1.454846739768982
"-98.843750  33.281250
",1.4353373050689697
"-96.093750  30.718750
",1.397480845451355
"-96.093750  29.656250
",1.704836368560791
"-97.593750  32.281250
",1.3808462619781494
"-96.218750  31.406250
",1.4956207275390625
"-103.843750  34.468750
",1.7026395797729492
"-96.781250  30.781250
",1.5545053482055664
"-96.531250  30.531250
",1.3277546167373657
"-98.593750  33.156250
",1.6437227725982666
"-97.218750  31.093750
",1.5749741792678833
"-98.843750  33.031250
",1.7051615715026855
"-102.281250  34.593750
",1.401867151260376
"-97.531250  31.593750
",1.33048415184021
"-97.531250  31.218750
",1.3988560438156128
"-96.031250  29.718750
",1.3201580047607422
"-96.093750  31.156250
",1.4251211881637573
"-97.906250  30.718750
",1.6748226881027222
"-96.718750  30.156250
",1.3928292989730835
"-97.593750  32.468750
",1.6534833908081055
"-97.281250  30.343750
",1.621647596359253
"-98.218750  33.156250
",1.3609408140182495
"-96.343750  30.656250
",1.4950155019760132
"-103.593750  34.468750
",1.6513360738754272
"-95.843750  29.406250
",1.4471760988235474
"-98.093750  31.468750
",1.5670998096466064
"-96.093750  30.218750
",1.4586869478225708
"-95.843750  29.718750
",1.739335060119629
"-96.593750  31.281250
",1.4006645679473877
"-97.781250  32.468750
",1.5471477508544922
"-97.031250  30.968750
",1.4898194074630737
"-97.531250  30.968750
",1.298302173614502
"-98.906250  33.343750
",1.3612430095672607
"-96.718750  31.218750
",1.6734601259231567
"-95.468750  29.343750
",1.7333128452301025
"-98.781250  33.343750
",1.5676170587539673
"-99.156250  33.093750
",1.5202810764312744
"-103.093750  33.968750
",1.751415729522705
"-96.718750  30.718750
",1.700108289718628
"-95.843750  29.531250
",1.4912296533584595
"-96.531250  29.968750
",1.5680625438690186
"-99.343750  33.218750
",1.3627005815505981
"-102.781250  34.406250
",1.7911608219146729
"-96.718750  30.906250
",1.316346287727356
"-98.593750  31.843750
",1.5873427391052246
"-96.843750  30.593750
",1.5264852046966553
"-102.218750  34.031250
",1.266050934791565
"-101.968750  33.281250
",1.3826407194137573
"-101.843750  33.906250
",1.7594550848007202
"-102.781250  34.156250
",1.5419256687164307
"-96.531250  30.093750
",1.438106894493103
"-97.031250  30.343750
",1.2800583839416504
"-101.406250  33.781250
",1.6097941398620605
"-97.718750  32.093750
",1.357816219329834
"-96.718750  30.781250
",1.4750604629516602
"-101.656250  33.718750
",1.6738964319229126
"-97.031250  30.156250
",1.6621792316436768
"-101.281250  33.781250
",1.3900659084320068
"-97.968750  31.531250
",1.3495123386383057
"-102.781250  34.093750
",1.3918272256851196
"-98.656250  33.031250
",1.4781091213226318
"-102.906250  33.781250
",1.3349045515060425
"-101.656250  34.031250
",1.6594161987304688
"-101.718750  34.093750
",1.3480727672576904
"-96.406250  30.968750
",1.3298388719558716
"-100.843750  32.718750
",1.6537344455718994
"-97.343750  31.218750
",1.7684175968170166
"-97.656250  30.718750
",1.64702570438385
"-97.343750  30.906250
",1.7210144996643066
"-103.281250  34.593750
",1.3526499271392822
"-95.593750  29.593750
",1.6498243808746338
"-99.468750  33.281250
",1.753216028213501
"-96.093750  30.593750
",1.397718071937561
"-99.531250  33.343750
",1.7389757633209229
"-99.656250  33.156250
",1.3446210622787476
"-97.968750  31.406250
",1.7125675678253174
"-101.468750  33.531250
",1.278603434562683
"-97.468750  30.531250
",1.2744019031524658
"-98.531250  31.406250
",1.654497504234314
"-98.906250  32.406250
",1.6332712173461914
"-96.843750  31.093750
",1.3634933233261108
"-102.656250  33.656250
",1.5885868072509766
"-102.343750  33.468750
",1.3328089714050293
"-98.968750  32.593750
",1.6024518013000488
"-100.843750  33.156250
",1.4989219903945923
"-103.718750  34.468750
",1.2680848836898804
"-98.468750  33.093750
",1.7752351760864258
"-97.843750  31.468750
",1.5286595821380615
"-98.031250  32.031250
",1.4383151531219482
"-98.093750  32.718750
",1.3367260694503784
"-96.468750  30.781250
",1.4665496349334717
"-96.781250  30.156250
",1.422381043434143
"-103.656250  34.218750
",1.6068800687789917
"-96.593750  30.093750
",1.3824225664138794
"-97.906250  32.656250
",1.3411401510238647
"-95.593750  29.281250
",1.5964605808258057
"-97.031250  31.281250
",1.3024264574050903
"-99.593750  33.218750
",1.6836127042770386
"-101.593750  33.656250
",1.6184850931167603
"-100.218750  33.343750
",1.5395869016647339
"-98.718750  32.031250
",1.352394938468933
"-101.781250  33.156250
",1.4957921504974365
"-97.343750  32.281250
",1.2900290489196777
"-100.531250  33.406250
",1.66750168800354
"-97.406250  32.343750
",1.6966753005981445
"-99.968750  33.156250
",1.3449879884719849
"-100.968750  33.718750
",1.4627188444137573
"-97.343750  30.468750
",1.491758108139038
"-102.031250  34.093750
",1.7211709022521973
"-101.656250  34.281250
",1.5435720682144165
"-97.031250  32.093750
",1.3350650072097778
"-102.156250  34.343750
",1.472645878791809
"-102.781250  33.843750
",1.3818066120147705
"-102.906250  33.656250
",1.6586689949035645
"-98.281250  31.343750
",1.2638250589370728
"-98.781250  32.968750
",1.263576626777649
"-97.031250  31.968750
",1.346052885055542
"-98.156250  31.718750
",1.3066635131835938
"-100.406250  32.468750
",1.5323104858398438
"-99.906250  32.843750
",1.409531831741333
"-100.593750  33.406250
",1.5385189056396484
"-100.781250  33.406250
",1.5645952224731445
"-99.468750  33.593750
",1.4253528118133545
"-99.718750  33.156250
",1.3649801015853882
"-97.468750  32.281250
",1.5766657590866089
"-100.718750  32.468750
",1.425532341003418
"-97.281250  31.218750
",1.3438725471496582
"-97.281250  31.781250
",1.489802598953247
"-97.218750  30.906250
",1.3289412260055542
"-96.781250  31.406250
",1.3713501691818237
"-97.531250  31.843750
",1.518453598022461
"-96.593750  31.468750
",1.6702463626861572
"-99.656250  32.656250
",1.7175261974334717
"-97.531250  31.093750
",1.5656776428222656
"-100.343750  32.343750
",1.3802181482315063
"-101.906250  34.031250
",1.7339255809783936
"-98.656250  31.843750
",1.2736809253692627
"-98.031250  32.593750
",1.634040355682373
"-99.843750  33.218750
",1.4436724185943604
"-98.406250  31.343750
",1.3166053295135498
"-96.968750  31.031250
",1.3554186820983887
"-100.843750  33.593750
",1.7240135669708252
"-102.718750  34.468750
",1.3039065599441528
"-98.406250  32.718750
",1.3589876890182495
"-100.656250  32.468750
",1.5617427825927734
"-95.593750  29.406250
",1.4627138376235962
"-96.093750  29.843750
",1.7006325721740723
"-99.781250  32.843750
",1.379221796989441
"-96.218750  30.156250
",1.3613600730895996
"-103.031250  34.343750
",1.6470742225646973
"-100.343750  32.593750
",1.3614460229873657
"-95.906250  30.656250
",1.2917909622192383
"-98.093750  30.906250
",1.6798627376556396
"-98.343750  32.593750
",1.3206188678741455
"-100.906250  32.843750
",1.4195623397827148
"-96.218750  29.843750
",1.3141826391220093
"-96.343750  30.468750
",1.7252612113952637
"-97.093750  30.406250
",1.6304833889007568
"-98.031250  30.906250
",1.2746875286102295
"-98.156250  32.468750
",1.3570992946624756
"-97.281250  30.843750
",1.3347309827804565
"-102.406250  33.843750
",1.374019742012024
"-99.718750  33.031250
",1.4037933349609375
"-103.468750  34.343750
",1.6708729267120361
"-98.218750  31.218750
",1.3194489479064941
"-100.843750  33.281250
",1.6015602350234985
"-96.781250  31.343750
",1.4835524559020996
"-96.718750  31.281250
",1.3617057800292969
"-96.343750  30.218750
",1.451735019683838
"-100.656250  33.406250
",1.507141351699829
"-97.031250  31.843750
",1.6067222356796265
"-100.656250  33.343750
",1.3301671743392944
"-102.093750  33.531250
",1.447145700454712
"-97.968750  31.843750
",1.3521497249603271
"-101.468750  33.968750
",1.3285646438598633
"-102.218750  33.906250
",1.433412790298462
"-98.343750  31.843750
",1.4310561418533325
"-97.031250  31.656250
",1.5478637218475342
"-97.218750  31.218750
",1.3405120372772217
"-102.781250  34.531250
",1.4132030010223389
"-96.843750  31.406250
",1.3550924062728882
"-99.281250  33.156250
",1.3298972845077515
"-102.218750  34.406250
",1.592665672302246
"-101.093750  33.031250
",1.324934482574463
"-98.656250  31.718750
",1.583461046218872
"-98.718750  33.406250
",1.3088605403900146
"-96.906250  30.656250
",1.6685469150543213
"-98.406250  32.781250
",1.5602281093597412
"-96.281250  29.968750
",1.5987801551818848
"-98.843750  32.906250
",1.5638117790222168
"-100.031250  32.218750
",1.4254679679870605
"-98.031250  30.781250
",1.3295495510101318
"-98.718750  32.531250
",1.3106811046600342
"-97.531250  31.343750
",1.4798904657363892
"-103.156250  34.031250
",1.7215278148651123
"-98.593750  33.281250
",1.302571415901184
"-96.281250  31.156250
",1.547682523727417
"-100.593750  32.656250
",1.2618820667266846
"-97.968750  32.281250
",1.4607868194580078
"-99.718750  33.468750
",1.2744245529174805
"-96.281250  30.343750
",1.3747227191925049
"-98.406250  31.218750
",1.32215416431427
"-97.656250  30.906250
",1.4336886405944824
"-101.656250  33.093750
",1.2974134683609009
"-98.156250  32.031250
",1.6274466514587402
"-98.406250  31.656250
",1.2747613191604614
"-97.093750  30.968750
",1.3256876468658447
"-99.781250  33.281250
",1.3860735893249512
"-101.218750  33.156250
",1.3578884601593018
"-96.843750  30.531250
",1.6737664937973022
"-99.343750  33.093750
",1.5576915740966797
"-96.343750  30.593750
",1.371519684791565
"-97.906250  32.781250
",1.3970178365707397
"-96.843750  30.468750
",1.599391222000122
"-99.656250  33.343750
",1.346450924873352
"-98.843750  32.093750
",1.3682981729507446
"-100.156250  33.406250
",1.4376827478408813
"-103.843750  34.343750
",1.2672045230865479
"-101.093750  33.343750
",1.4935128688812256
"-96.906250  30.843750
",1.3679312467575073
"-96.531250  30.718750
",1.3190535306930542
"-101.843750  32.968750
",1.3404474258422852
"-96.906250  30.156250
",1.3583961725234985
"-95.656250  29.593750
",1.362459421157837
"-96.843750  30.718750
",1.6698265075683594
"-98.343750  31.531250
",1.4528460502624512
"-98.093750  31.406250
",1.5567944049835205
"-102.468750  34.093750
",1.3004118204116821
"-99.343750  33.031250
",1.3705358505249023
"-101.718750  33.968750
",1.515712857246399
"-96.718750  30.343750
",1.324156403541565
"-98.218750  31.093750
",1.2934513092041016
"-98.593750  32.843750
",1.3293949365615845
"-97.156250  31.218750
",1.5666569471359253
"-102.218750  33.968750
",1.3810415267944336
"-99.781250  32.781250
",1.3418446779251099
"-96.156250  30.656250
",1.3929460048675537
"-101.468750  33.093750
",1.464429259300232
"-102.906250  34.281250
",1.5073927640914917
"-96.906250  31.031250
",1.4941843748092651
"-102.156250  33.968750
",1.2767539024353027
"-100.343750  33.531250
",1.4843682050704956
"-96.343750  29.906250
",1.2757408618927002
"-102.656250  34.343750
",1.266403079032898
"-96.531250  30.781250
",1.4039573669433594
"-97.781250  31.406250
",1.5641074180603027
"-100.343750  33.218750
",1.5381700992584229
"-98.093750  31.593750
",1.4722002744674683
"-100.218750  33.406250
",1.5856680870056152
"-97.156250  31.968750
",1.4113588333129883
"-98.531250  31.468750
",1.571696162223816
"-100.843750  33.468750
",1.2812614440917969
"-97.843750  31.031250
",1.5233428478240967
"-96.906250  31.156250
",1.4934464693069458
"-97.531250  32.468750
",1.5190880298614502
"-97.781250  31.281250
",1.4454433917999268
"-100.781250  33.156250
",1.314579725265503
"-102.281250  33.906250
",1.6479153633117676
"-99.718750  32.968750
",1.3068257570266724
"-98.218750  30.781250
",1.6561506986618042
"-98.468750  33.218750
",1.2975082397460938
"-96.093750  30.781250
",1.2615454196929932
"-98.531250  33.093750
",1.2622421979904175
"-99.843750  32.843750
",1.2710188627243042
"-98.531250  32.281250
",1.313831090927124
"-100.906250  33.343750
",1.5466612577438354
"-96.156250  29.843750
",1.6456913948059082
"-102.906250  33.843750
",1.2742716073989868
"-96.781250  30.531250
",1.5240907669067383
"-103.593750  34.656250
",1.351926326751709
"-102.843750  33.968750
",1.3416954278945923
"-95.968750  30.281250
",1.2901452779769897
"-96.281250  30.656250
",1.5746415853500366
"-98.218750  30.968750
",1.3838703632354736
"-103.031250  33.656250
",1.2612768411636353
"-99.343750  33.531250
",1.5573461055755615
